0.00000000000000e+00,0.00000000000000e+00
5.00000000000000e-03,-1.01973667789841e-06
1.00000000000000e-02,-3.93314482460947e-06
1.50000000000000e-02,-8.45705747315010e-06
2.00000000000000e-02,-1.44720815965641e-05
2.50000000000000e-02,-2.20825840654285e-05
3.00000000000000e-02,-3.15916676249194e-05
3.50000000000000e-02,-4.33535368215685e-05
4.00000000000000e-02,-5.76857091951080e-05
4.50000000000000e-02,-7.47545808146380e-05
5.00000000000000e-02,-9.43556009974768e-05
5.50000000000000e-02,-1.16365047694371e-04
6.00000000000000e-02,-1.40961452821187e-04
6.50000000000000e-02,-1.68026618519767e-04
7.00000000000000e-02,-1.97193210023717e-04
7.50000000000000e-02,-2.28382910267896e-04
8.00000000000000e-02,-2.61940070463497e-04
8.50000000000000e-02,-2.98344033857350e-04
9.00000000000000e-02,-3.37525234978465e-04
9.50000000000000e-02,-3.79111820610062e-04
1.00000000000000e-01,-4.22788875256722e-04
1.05000000000000e-01,-4.67946815916175e-04
1.10000000000000e-01,-5.14211837148588e-04
1.15000000000000e-01,-5.61527110835425e-04
1.20000000000000e-01,-6.09066765328989e-04
1.25000000000000e-01,-6.55806155280125e-04
1.30000000000000e-01,-7.01676606838047e-04
1.35000000000000e-01,-7.46760273251618e-04
1.40000000000000e-01,-7.90867782903969e-04
1.45000000000000e-01,-8.34159302813087e-04
1.50000000000000e-01,-8.77036664432576e-04
1.55000000000000e-01,-9.19671636051494e-04
1.60000000000000e-01,-9.62015331960075e-04
1.65000000000000e-01,-1.00441295826005e-03
1.70000000000000e-01,-1.04746580467909e-03
1.75000000000000e-01,-1.09123357539161e-03
1.80000000000000e-01,-1.13561764389032e-03
1.85000000000000e-01,-1.18056127210777e-03
1.90000000000000e-01,-1.22549462658334e-03
1.95000000000000e-01,-1.26971902982926e-03
2.00000000000000e-01,-1.31287595883974e-03
2.05000000000000e-01,-1.35492455388778e-03
2.10000000000000e-01,-1.39574728863401e-03
2.15000000000000e-01,-1.43483447994723e-03
2.20000000000000e-01,-1.47174178424436e-03
2.25000000000000e-01,-1.50633302058272e-03
2.30000000000000e-01,-1.53894241863416e-03
2.35000000000000e-01,-1.57005171076503e-03
2.40000000000000e-01,-1.59997375930557e-03
2.45000000000000e-01,-1.62935352306353e-03
2.50000000000000e-01,-1.65900980040174e-03
2.55000000000000e-01,-1.68928251397540e-03
2.60000000000000e-01,-1.71981058587968e-03
2.65000000000000e-01,-1.74981077049230e-03
2.70000000000000e-01,-1.77887115498466e-03
2.75000000000000e-01,-1.80683562792684e-03
2.80000000000000e-01,-1.83261502734780e-03
2.85000000000000e-01,-1.85486424195187e-03
2.90000000000000e-01,-1.87318115625983e-03
2.95000000000000e-01,-1.88740887878517e-03
3.00000000000000e-01,-1.89686545178648e-03
3.05000000000000e-01,-1.90114212784485e-03
3.10000000000000e-01,-1.90080131739706e-03
3.15000000000000e-01,-1.89656540856155e-03
3.20000000000000e-01,-1.88853916107262e-03
3.25000000000000e-01,-1.87647059319662e-03
3.30000000000000e-01,-1.86024756197632e-03
3.35000000000000e-01,-1.83946791865817e-03
3.40000000000000e-01,-1.81369610835137e-03
3.45000000000000e-01,-1.78348907737788e-03
3.50000000000000e-01,-1.74971703716292e-03
3.55000000000000e-01,-1.71251214556897e-03
3.60000000000000e-01,-1.67186140165431e-03
3.65000000000000e-01,-1.62801442460219e-03
3.70000000000000e-01,-1.58112786975658e-03
3.75000000000000e-01,-1.53142279843554e-03
3.80000000000000e-01,-1.47959599058292e-03
3.85000000000000e-01,-1.42658041561611e-03
3.90000000000000e-01,-1.37266085224136e-03
3.95000000000000e-01,-1.31783230296484e-03
4.00000000000000e-01,-1.26267651179753e-03
4.05000000000000e-01,-1.20818075587579e-03
4.10000000000000e-01,-1.15513070904893e-03
4.15000000000000e-01,-1.10337530674574e-03
4.20000000000000e-01,-1.05189588476228e-03
4.25000000000000e-01,-9.99955543404860e-04
4.30000000000000e-01,-9.47179395806784e-04
4.35000000000000e-01,-8.92956665211757e-04
4.40000000000000e-01,-8.36884980465387e-04
4.45000000000000e-01,-7.78882782471373e-04
4.50000000000000e-01,-7.18942063264141e-04
4.55000000000000e-01,-6.57161978056912e-04
4.60000000000000e-01,-5.93761056933320e-04
4.65000000000000e-01,-5.29457688985731e-04
4.70000000000000e-01,-4.64959575013862e-04
4.75000000000000e-01,-3.99978268520249e-04
4.80000000000000e-01,-3.33872861881060e-04
4.85000000000000e-01,-2.66387432687097e-04
4.90000000000000e-01,-1.97692895570180e-04
4.95000000000000e-01,-1.28211375386055e-04
5.00000000000000e-01,-5.82119688691240e-05
5.05000000000000e-01,1.20501418625968e-05
5.10000000000000e-01,8.24688048707486e-05
5.15000000000000e-01,1.53238070062159e-04
5.20000000000000e-01,2.24237440127612e-04
5.25000000000000e-01,2.95310566748212e-04
5.30000000000000e-01,3.66805578884737e-04
5.35000000000000e-01,4.39009116945150e-04
5.40000000000000e-01,5.11788352129254e-04
5.45000000000000e-01,5.84579376305554e-04
5.50000000000000e-01,6.56862289423208e-04
5.55000000000000e-01,7.28638716530835e-04
5.60000000000000e-01,7.99695650668994e-04
5.65000000000000e-01,8.69646541632363e-04
5.70000000000000e-01,9.38584117347004e-04
5.75000000000000e-01,1.00630039223070e-03
5.80000000000000e-01,1.07201161679082e-03
5.85000000000000e-01,1.13537650266022e-03
5.90000000000000e-01,1.19654671509557e-03
5.95000000000000e-01,1.25552330994687e-03
6.00000000000000e-01,1.31191071950970e-03
6.05000000000000e-01,1.36452239427368e-03
